relative_keyword,total_search,total_store,competitive_rate
올인원PC,11040.0,116444.0,10.547463768115943
사무용데스크탑,1290.0,107380.0,83.24031007751938
모니터보안필름,6080.0,67771.0,11.14654605263158
키보드손목받침대,6410.0,123396.0,19.250546021840872
마우스손목받침대,4830.0,126395.0,26.16873706004141
15인치노트북파우치,3570.0,89225.0,24.99299719887955
노트북쿨링패드,2350.0,97804.0,41.61872340425532
아이패드종이필름,4150.0,75921.0,18.29421686746988
갤럭시탭S8케이스,3680.0,122972.0,33.416304347826085
짭플펜슬,12160.0,6628.0,0.5450657894736842
아이패드에어4케이스,5410.0,102084.0,18.869500924214417
애플펜슬펜촉,23360.0,21001.0,0.8990154109589041
갤럭시탭S8플러스케이스,1440.0,39913.0,27.71736111111111
아이패드9세대케이스,8040.0,65344.0,8.127363184079602
아이패드미니6케이스,3740.0,67690.0,18.09893048128342
아이패드에어5케이스,10600.0,96087.0,9.064811320754718
갤럭시탭S6라이트케이스,3280.0,42067.0,12.825304878048781
아이패드종이질감필름,2370.0,69937.0,29.50928270042194
듀얼모니터암,7780.0,108765.0,13.980077120822623
듀얼모니터받침대,6460.0,68299.0,10.572600619195047
싱글모니터암,1030.0,47169.0,45.79514563106796
원목모니터받침대,1320.0,64072.0,48.53939393939394
높이조절모니터받침대,1170.0,54249.0,46.36666666666667
모니터암듀얼,3680.0,108765.0,29.55570652173913
카멜모니터암,8130.0,11518.0,1.4167281672816727
SL-M2030,4430.0,8916.0,2.0126410835214448
MLT-K200L,3040.0,8566.0,2.8177631578947366
CLT-K510S,3330.0,6916.0,2.076876876876877
SL-M2077F,1730.0,5399.0,3.1208092485549135
SL-C563W,8510.0,12928.0,1.519153936545241
SL-M2893FW,2730.0,3494.0,1.2798534798534797
브리츠스피커,8780.0,61426.0,6.996127562642369
브리츠사운드바,2660.0,12826.0,4.821804511278195
에버미디어,1710.0,7504.0,4.3883040935672515
앱코헤드셋,3960.0,9851.0,2.4876262626262626
캔스톤스피커,2500.0,5430.0,2.172
씨게이트외장하드,5030.0,46019.0,9.148906560636183
SSDT7,1230.0,5922.0,4.814634146341463
삼성외장하드,7450.0,35891.0,4.817583892617449
외장하드4TB,3050.0,103999.0,34.09803278688525
WDSSD,1600.0,1136.0,0.71
시놀로지,12000.0,39908.0,3.3256666666666668
외장하드5TB,1960.0,24237.0,12.365816326530613
CTOHDMI,7520.0,126023.0,16.758377659574467
허브랙,1410.0,41504.0,29.435460992907803
마이크로닉스파워,1150.0,22756.0,19.78782608695652
RTX3060TI,10270.0,18112.0,1.7635832521908472
RTX3060,25110.0,57506.0,2.290163281561131
유선공유기,1750.0,50920.0,29.097142857142856
오피스2021,7360.0,20302.0,2.7584239130434782
캐디안,8310.0,710.0,0.08543922984356198
큐베이스,7720.0,2265.0,0.2933937823834197
한컴오피스2022,9130.0,1281.0,0.1403066812705367
마이크로소프트오피스,13830.0,4272.0,0.3088937093275488
한글2022,4920.0,3404.0,0.691869918699187
운영체제,3070.0,86276.0,28.102931596091207
굿노트다이어리,11640.0,4555.0,0.3913230240549828
3단매트리스,9250.0,104125.0,11.256756756756756
업소용싱크대,6770.0,130682.0,19.303101920236337
초등학생책상,20070.0,109445.0,5.453163926258097
아기책장,13970.0,55522.0,3.9743736578382247
초등학생의자,3820.0,56722.0,14.84869109947644
아기옷장,13570.0,54614.0,4.024613117170229
한샘샘키즈수납장,24380.0,1886.0,0.07735849056603773
성인벙커침대,4820.0,44019.0,9.132572614107884
침대안전가드,6020.0,99392.0,16.51029900332226
교구장,16740.0,100024.0,5.975149342891278
모션데스크,29400.0,70106.0,2.384557823129252
파고라,13670.0,119756.0,8.760497439648866
방음부스,21880.0,79971.0,3.654981718464351
