relative_keyword,avg_sale
햄스터사료,342596.0
골든햄스터케이지,1778969.0
햄스터쳇바퀴,379040.0
골든햄스터집,1330839.0
햄스터베딩,1142048.0
강아지산소방,7310112.0
모모팜,775318.0
톱밥,2615038.0
햄스터관찰존,283073.0
막심이네잡다상점,90229.0
도치퀸,57244.0
토끼사료,450520.0
건초,642023.0
티모시,684843.0
비둘기퇴치,238301.0
앵무새이동장,185499.0
앵무새놀이터,210182.0
육추기,1575500.0
버드스파이크,283178.0
닭물통,339592.0
앵무새포치,89909.0
비둘기퇴치망,338950.0
쌍별귀뚜라미,3538257.0
도마뱀사육장,1094635.0
강아지옷장,370090.0
귀뚜라미먹이,1127401.0
소라게,637086.0
크레스티드게코사육장,841114.0
