relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review,zzim_10,zzim_50,zzim_100,zzim_1000
자주파자마,13700.0,30612.0,2.23,29983.0,633926.0,0,0,1,1,19,5,14,2,8319,207,28,7,5,0
오토바이보조스크린,1180.0,18817.0,15.95,34195.0,634477.0,4,5,8,0,29,2,8,1,5556,138,37,1,2,0
에뜨와내의,8130.0,59072.0,7.27,24848.0,634562.0,0,0,4,0,35,4,1,0,714,17,35,2,3,0
맥세이프차량용충전기,6390.0,43197.0,6.76,25663.0,635317.0,2,4,7,1,9,7,18,6,22797,569,23,8,9,0
플라스틱복원제,4560.0,29549.0,6.48,16044.0,636618.0,1,3,7,0,15,6,15,4,19869,496,34,3,3,0
소라게,16050.0,30881.0,1.92,14024.0,637086.0,3,9,6,0,11,5,18,6,18897,472,28,3,9,0
곤약라면,4020.0,3793.0,0.94,26820.0,637110.0,0,9,4,1,31,3,3,3,8902,222,34,2,4,0
슬링샷,4300.0,29535.0,6.87,18480.0,637197.0,1,0,5,0,27,7,5,1,3567,89,36,0,4,0
아기침대계단,1190.0,2202.0,1.85,25690.0,638191.0,26,2,3,0,37,0,2,1,1646,41,35,2,3,0
자동와인오프너,1150.0,48923.0,42.54,23390.0,638312.0,3,4,3,0,23,3,8,6,17269,431,31,5,3,1
폼랜스,4680.0,72761.0,15.55,39642.0,638511.0,2,3,8,2,17,8,14,1,7098,177,31,5,4,0
임산부호박즙,1910.0,1082.0,0.57,38214.0,639153.0,23,12,3,1,28,2,7,3,7518,187,34,3,3,0
비상벨,3590.0,32748.0,9.12,42872.0,639264.0,3,3,1,0,32,4,3,1,3591,89,38,0,2,0
알칸타라핸들커버,6070.0,63348.0,10.44,33157.0,639286.0,5,2,6,0,21,2,12,5,33346,833,32,4,4,0
자수턱받이,1180.0,4023.0,3.41,12071.0,639499.0,16,14,3,0,15,3,16,6,31210,780,12,8,18,2
극세사로브,3080.0,24169.0,7.85,33594.0,639858.0,3,6,1,0,32,1,6,1,4166,104,33,1,6,0
강아지욕조,5060.0,83931.0,16.59,47802.0,639927.0,10,3,3,0,17,6,13,4,11993,299,24,4,11,1
애견욕조,1100.0,83401.0,75.82,47802.0,639927.0,10,3,3,0,17,6,13,4,11993,299,24,4,11,1
킥보드악세사리,1050.0,75185.0,71.6,15303.0,640583.0,5,4,2,2,22,5,9,4,11099,277,33,3,4,0
